City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
317,seoul,37.5683,126.9778,11.78,58,0,1.54,KR,1680275012
318,cap malheureux,-19.9842,57.6142,27.48,74,2,2.24,MU,1680275122
319,xuzhou,34.1805,117.1571,12.07,69,100,2.76,CN,1680275122
320,kirovskiy,45.0917,133.5136,4.01,53,0,2.03,RU,1680275122
321,nantucket,41.2835,-70.0995,8.08,39,0,4.63,US,1680275122
322,aksha,50.2814,113.2867,-0.38,58,39,7.36,RU,1680275123
323,ust-kut,56.7938,105.7672,-14.8,97,93,1.57,RU,1680275123
324,umm lajj,25.0213,37.2685,21.73,55,22,7.31,SA,1680275123
325,iqaluit,63.7506,-68.5145,-12.15,85,100,2.06,CA,1680274835
326,oranjestad,12.524,-70.027,28.97,61,20,12.86,AW,1680274896
327,ambon,-3.6954,128.1814,26.08,89,20,3.6,ID,1680275123
328,kahului,20.8947,-156.47,23.25,78,20,0.0,US,1680275123
329,mitu,1.1983,-70.1733,23.65,92,100,1.7,CO,1680275123
330,nogliki,51.8333,143.1667,-0.86,98,100,1.49,RU,1680275123
331,laguna,38.421,-121.4238,9.31,85,40,2.57,US,1680275124
332,padang,-0.9492,100.3543,26.03,85,100,1.42,ID,1680275124
333,tomatlan,19.9333,-105.25,26.64,23,81,0.88,MX,1680275124
334,tiarei,-17.5333,-149.3333,25.01,75,87,2.31,PF,1680275124
335,matasari,44.85,23.0833,16.68,50,100,5.26,RO,1680275124
336,arlit,18.7369,7.3853,35.09,6,0,3.06,NE,1680275125
337,chapais,49.7834,-74.8492,-4.12,83,100,4.06,CA,1680275125
338,puerto baquerizo moreno,-0.9,-89.6,28.55,79,40,5.14,EC,1680275125
339,nishihara,26.1842,127.7558,21.6,78,100,2.57,JP,1680275126
340,yerofey pavlovich,53.9667,121.9667,-0.63,96,74,2.72,RU,1680275126
341,naze,28.3667,129.4833,18.51,89,72,4.02,JP,1680275126
342,sangar,63.9242,127.4739,-19.73,96,100,2.35,RU,1680275126
343,ponta delgada,37.7333,-25.6667,17.4,88,75,3.6,PT,1680275126
344,black river,18.0264,-77.8487,29.46,54,20,2.37,JM,1680275126
345,mecca,21.4267,39.8261,25.88,31,44,7.34,SA,1680275126
346,hithadhoo,-0.6,73.0833,28.46,72,17,3.06,MV,1680275127
347,santo amaro,-12.5467,-38.7119,30.1,57,39,3.34,BR,1680275127
348,cayenne,4.9333,-52.3333,29.02,70,75,6.17,GF,1680275082
349,acurenam,1.0322,10.6488,27.52,62,48,1.62,GQ,1680275127
350,sadri,25.1833,73.4333,23.67,45,70,3.35,IN,1680275127
351,beloha,-25.1667,45.05,23.94,79,68,5.52,MG,1680275127
352,hamilton,39.1834,-84.5333,12.21,90,100,4.63,US,1680275041
353,isabela,6.7085,121.9711,26.22,85,100,1.09,PH,1680275127
354,abha,18.2164,42.5053,19.9,68,40,5.66,SA,1680274876
355,constitucion,-35.3333,-72.4167,20.46,38,0,2.68,CL,1680275128
356,parksville,49.3163,-124.3195,6.8,75,100,7.72,CA,1680275128
357,rabo de peixe,37.8,-25.5833,16.73,88,75,3.6,PT,1680275128
358,meadow lake,34.8014,-106.5436,5.93,38,1,11.46,US,1680275128
359,tilichiki,60.4667,166.1,-10.78,98,98,0.87,RU,1680275128
360,mnogovershinnyy,53.9353,139.9242,-7.1,91,20,1.64,RU,1680275128
361,nioro,13.35,-15.75,40.73,15,25,3.22,GM,1680275129
